season,week,method,n_contestants,n_eliminated,actual_eliminated,predicted_eliminated,is_correct,correct_count,in_bottom_two,actual_idx,pred_idx,actual_combined_rank,pred_combined_rank
18,6,percent,8,1,Drew Carey,Drew Carey,True,1,True,6,6,1,1
18,7,percent,7,1,NeNe Leakes,NeNe Leakes,True,1,True,6,6,1,1
18,8,percent,6,1,Danica McKellar,James Maslow,False,0,False,0,1,4,1
18,9,percent,5,1,Charlie White,Candace Cameron Bure,False,0,False,2,1,3,1
18,10,percent,4,1,James Maslow,Candace Cameron Bure,False,0,True,0,1,2,1
19,1,percent,13,1,Lolo Jones,Betsey Johnson,False,0,True,5,8,2,1
19,2,percent,12,1,Tavis Smiley,Michael Waltrip,False,0,False,9,8,5,1
19,3,percent,11,1,Randy Couture,Randy Couture,True,1,True,5,5,1,1
19,4,percent,10,1,Betsey Johnson,Jonathan Bennett,False,0,False,6,1,4,1
19,6,percent,9,1,Jonathan Bennett,Tommy Chong,False,0,False,1,5,4,1
19,7,percent,8,1,Antonio Sabato Jr.,Michael Waltrip,False,0,False,0,5,3,1
19,8,percent,7,1,Michael Waltrip,Michael Waltrip,True,1,True,4,4,1,1
19,9,percent,6,1,Lea Thompson,Tommy Chong,False,0,True,0,3,2,1
19,10,percent,5,1,Tommy Chong,Tommy Chong,True,1,True,2,2,1,1
19,11,percent,4,1,Bethany Mota,Bethany Mota,True,1,True,2,2,1,1
20,2,percent,12,1,Redfoo,Chris Soules,False,0,False,9,11,8,1
20,3,percent,11,1,Charlotte McKinney,Charlotte McKinney,True,1,True,7,7,1,1
20,4,percent,10,1,Michael Sam,Chris Soules,False,0,False,5,9,3,1
20,5,percent,9,1,Suzanne Somers,Robert Herjavec,False,0,False,0,5,4,1
20,6,percent,8,1,Patti LaBelle,Robert Herjavec,False,0,True,6,4,2,1
20,7,percent,7,1,Willow Shields,Robert Herjavec,False,0,False,0,4,6,1
20,8,percent,6,2,"Robert Herjavec, Chris Soules","Robert Herjavec, Chris Soules",True,2,True,3,3,1,1
20,9,percent,4,1,Nastia Liukin,Noah Galloway,False,0,False,2,3,4,1
21,2,percent,13,2,"Victor Espinoza, Chaka Khan","Chaka Khan, Gary Busey",False,1,True,3,5,3,1
21,4,percent,10,1,Gary Busey,Gary Busey,True,1,True,0,0,1,1
21,6,percent,9,1,Paula Deen,Paula Deen,True,1,True,8,8,1,1
21,7,percent,8,1,Hayes Grier,Alek Skarlatos,False,0,False,6,2,7,1
21,8,percent,7,1,Andy Grammer,Andy Grammer,True,1,True,3,3,1,1
21,9,percent,6,1,Alexa PenaVega,Tamar Braxton,False,0,False,0,3,5,1
21,11,percent,4,1,Carlos PenaVega,Alek Skarlatos,False,0,True,0,1,2,1
22,2,percent,12,1,Geraldo Rivera,Geraldo Rivera,True,1,True,7,7,1,1
22,3,percent,11,1,Mischa Barton,Mischa Barton,True,1,True,0,0,1,1
22,4,percent,10,1,Marla Maples,Doug Flutie,False,0,False,9,2,3,1
22,6,percent,9,1,Doug Flutie,Doug Flutie,True,1,True,2,2,1,1
22,7,percent,8,2,"Kim Fields, Von Miller","Jodie Sweetin, Kim Fields",False,1,True,0,1,2,1
22,8,percent,6,1,Jodie Sweetin,Wanya Morris,False,0,False,0,5,4,1
22,9,percent,5,2,"Antonio Brown, Wanya Morris","Antonio Brown, Nyle DiMarco",False,1,False,0,0,1,1
23,2,percent,13,1,Jake T. Austin,Rick Perry,False,0,False,0,7,3,1
23,3,percent,12,1,Rick Perry,Rick Perry,True,1,True,6,6,1,1
23,4,percent,11,2,"Babyface, Vanilla Ice","Babyface, Marilu Henner",False,1,False,7,7,1,1
23,6,percent,9,1,Amber Rose,Amber Rose,True,1,True,5,5,1,1
23,7,percent,8,1,Maureen McCormick,Marilu Henner,False,0,True,0,1,2,1
23,8,percent,7,1,Ryan Lochte,Marilu Henner,False,0,False,1,0,3,1
23,9,percent,6,1,Marilu Henner,Marilu Henner,True,1,True,0,0,1,1
23,10,percent,5,1,Terra Jole,Calvin Johnson Jr.,False,0,False,4,0,5,1
23,11,percent,4,1,Jana Kramer,Jana Kramer,True,1,True,3,3,1,1
24,2,percent,12,1,Chris Kattan,Mr. T,False,0,True,8,1,2,1
24,3,percent,11,1,Charo,Charo,True,1,True,0,0,1,1
24,4,percent,10,1,Mr. T,Mr. T,True,1,True,0,0,1,1
24,5,percent,9,1,Erika Jayne,David Ross,False,0,False,6,4,4,1
24,6,percent,8,1,Heather Morris,Nick Viall,False,0,False,0,7,8,1
24,7,percent,7,2,"Nancy Kerrigan, Nick Viall","Bonner Bolton, David Ross",False,0,False,0,1,4,1
24,8,percent,5,1,Bonner Bolton,Bonner Bolton,True,1,True,0,0,1,1
24,9,percent,4,1,Simone Biles,David Ross,False,0,False,0,1,4,1
25,2,percent,13,2,"Barbara Corcoran, Debbie Gibson","Barbara Corcoran, Derek Fisher",False,1,False,7,7,1,1
25,4,percent,11,1,Derek Fisher,Nick Lachey,False,0,True,3,8,2,1
25,5,percent,10,1,Sasha Pieterse,Nick Lachey,False,0,True,0,7,2,1
25,6,percent,9,1,Nick Lachey,Nick Lachey,True,1,True,6,6,1,1
25,7,percent,8,2,"Nikki Bella, Vanessa Lachey","Nikki Bella, Terrell Owens",False,1,False,2,2,1,1
25,8,percent,6,1,Terrell Owens,Drew Scott,False,0,False,2,5,3,1
25,9,percent,5,1,Victoria Arlen,Drew Scott,False,0,False,2,4,3,1
25,10,percent,4,1,Drew Scott,Drew Scott,True,1,True,3,3,1,1
26,1,percent,10,2,"Jamie Anderson, Johnny Damon","Kareem Abdul-Jabbar, Johnny Damon",False,1,True,0,2,3,1
26,2,percent,8,2,"Kareem Abdul-Jabbar, Arike Ogunbowale","Kareem Abdul-Jabbar, Jennie Finch Daigle",False,1,False,0,0,1,1
26,3,percent,6,3,"Jennie Finch Daigle, Chris Mazdzer, Mirai Nagasu","Jennie Finch Daigle, Chris Mazdzer, Mirai Nagasu",True,3,True,0,0,1,1
27,1,percent,13,1,Nikki Glaser,Joe Amabile,False,0,True,8,12,2,1
27,2,percent,12,1,Danelle Umstead,Joe Amabile,False,0,True,5,11,2,1
27,3,percent,11,1,Nancy McKeon,Joe Amabile,False,0,False,2,10,4,1
27,4,percent,10,1,Tinashe,Joe Amabile,False,0,False,7,9,9,1
27,6,percent,9,1,Mary Lou Retton,John Schneider,False,0,False,4,2,4,1
27,7,percent,8,2,"John Schneider, DeMarcus Ware","Joe Amabile, Bobby Bones",False,0,False,2,7,4,1
27,8,percent,6,2,"Juan Pablo Di Pace, Joe Amabile","Bobby Bones, Joe Amabile",False,1,False,0,3,6,1
28,2,rank,12,1,Mary Wilson,Lamar Odom,False,0,True,7,4,22,24
28,4,rank,10,1,Lamar Odom,Lamar Odom,True,1,True,3,3,20,20
28,6,rank,9,1,Sailor Brinkley-Cook,Sean Spicer,False,0,False,3,4,4,18
28,7,rank,8,1,Karamo Brown,Sean Spicer,False,0,False,6,3,12,16
28,8,rank,7,1,Kate Flannery,Sean Spicer,False,0,False,0,3,10,14
28,9,rank,6,1,Sean Spicer,Sean Spicer,True,1,True,2,2,12,12
28,10,rank,5,1,James Van Der Beek,James Van Der Beek,True,1,True,0,0,10,10
29,2,rank,15,1,Charles Oakley,Charles Oakley,True,1,True,5,5,29,29
29,3,rank,14,1,Carole Baskin,Anne Heche,False,0,True,11,0,27,27
29,4,rank,13,1,Anne Heche,Anne Heche,True,1,True,0,0,23,23
29,5,rank,12,1,Jesse Metcalfe,Chrishell Stause,False,0,True,0,1,22,24
29,6,rank,11,1,Veron Davis,Veron Davis,True,1,True,3,3,21,21
29,7,rank,10,1,Monica Aldama,Kaitlyn Bristowe,False,0,True,8,7,19,19
29,8,rank,8,1,Chrishell Stause,Nelly,False,0,False,0,6,12,16
29,9,rank,7,1,AJ McLean,Nelly,False,0,True,4,5,12,14
29,10,rank,6,2,"Skai Jackson, Johnny Weir","Nelly, Johnny Weir",False,1,True,0,4,8,12
30,2,rank,15,1,Martin Kove,Martin Kove,True,1,True,0,0,30,30
30,3,rank,14,1,Christine Chiu,Brian Austin Green,False,0,False,11,0,17,26
30,4,rank,13,2,"Brian Austin Green, Matt James","Brian Austin Green, Matt James",True,2,True,0,0,26,26
30,5,rank,11,1,Melanie C,Iman Shumpert,False,0,False,5,3,11,21
30,6,rank,10,1,Kenya Moore,Kenya Moore,True,1,True,8,8,20,20
30,7,rank,9,1,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,1,True,1,1,18,18
30,8,rank,8,2,"Jimmie Allen, Olivia Jade","Jimmie Allen, Iman Shumpert",False,1,True,4,4,16,16
30,9,rank,6,2,"Melora Hardin, Suni Lee","Melora Hardin, Cody Rigsby",False,1,True,0,0,11,11
31,1,rank,16,1,Jason Lewis,Vinny Guadagnino,False,0,True,0,13,30,32
31,2,rank,15,1,Teresa Giudice,Cheryl Ladd,False,0,True,11,0,29,29
31,3,rank,14,1,Cheryl Ladd,Vinny Guadagnino,False,0,True,0,11,26,28
31,4,rank,13,1,Sam Champion,Sam Champion,True,1,True,5,5,26,26
31,5,rank,12,1,Joseph Baena,Vinny Guadagnino,False,0,False,1,9,18,24
31,6,rank,10,1,Jessie James Decker,Vinny Guadagnino,False,0,True,3,7,17,20
31,7,rank,9,1,Jordin Sparks,Vinny Guadagnino,False,0,True,3,6,16,18
31,8,rank,8,2,"Heidi D'Amelio, Vinny Guadagnino","Vinny Guadagnino, Trevor Donovan",False,1,False,3,5,12,16
31,9,rank,6,2,"Trevor Donovan, Daniel Durant","Trevor Donovan, Daniel Durant",True,2,True,0,0,12,12
32,1,rank,14,1,Matt Walsh,Matt Walsh,True,1,True,6,6,26,26
32,2,rank,13,1,Jamie Lynn Spears,Mauricio Umansky,False,0,False,0,10,16,26
32,3,rank,12,1,Tyson Beckford,Tyson Beckford,True,1,True,5,5,24,24
32,4,rank,11,1,Adrian Peterson,Barry Williams,False,0,False,4,1,14,21
32,5,rank,10,1,Mira Sorvino,Harry Jowsey,False,0,True,0,6,17,20
32,6,rank,9,1,Mauricio Umansky,Harry Jowsey,False,0,False,6,5,12,18
32,7,rank,8,1,Lele Pons,Harry Jowsey,False,0,False,4,5,6,16
32,8,rank,7,1,Barry Williams,Harry Jowsey,False,0,True,0,4,11,14
32,9,rank,6,1,Harry Jowsey,Harry Jowsey,True,1,True,3,3,12,12
33,2,rank,13,2,"Tori Spelling, Anna Delvey","Eric Roberts, Reginald VelJohnson",False,0,False,0,1,20,25
33,3,rank,11,2,"Eric Roberts, Reginald VelJohnson","Eric Roberts, Reginald VelJohnson",True,2,True,0,0,21,21
33,4,rank,9,1,Brooks Nader,Dwight Howard ,False,0,True,5,1,15,16
33,5,rank,8,1,Phaedra Parks,Phaedra Parks,True,1,True,5,5,16,16
33,6,rank,7,1,Jenn Tran,Ilona Maher,False,0,False,5,4,7,14
33,7,rank,6,1,Dwight Howard ,Dwight Howard ,True,1,True,1,1,12,12
34,2,rank,14,2,"Corey Feldman, Baron Davis","Andy Richter, Corey Feldman",False,1,True,0,5,26,27
34,3,rank,12,1,Lauren Jauregui,Andy Richter,False,0,True,6,3,22,23
34,4,rank,11,1,Hilaria Baldwin,Andy Richter,False,0,False,5,3,14,22
34,6,rank,10,1,Scott Hoying,Andy Richter,False,0,True,5,3,17,20
34,7,rank,9,1,Jen Affleck,Andy Richter,False,0,True,6,3,15,18
34,8,rank,8,1,Danielle Fishel,Andy Richter,False,0,True,0,3,14,16
34,9,rank,7,1,Andy Richter,Andy Richter,True,1,True,2,2,14,14
34,10,rank,6,1,Whitney Leavitt,Dylan Efron,False,0,False,4,5,6,12
