partner,num_celebrities,num_seasons,avg_score,avg_votes,avg_placement,score_effect,vote_effect,score_effect_pct,vote_effect_pct,win_count,top3_count
Chelsie Hightower,7,7,22.674406976744184,140226.62790697673,6.27906976744186,-3.308791942953331,15191.520596929913,-12.734351736979468,12.149804102026987,0,0
Emma Slater/Kaitlyn Bristowe (week 9),1,1,22.666666666666668,45985.555555555555,7.0,-3.3165322530308465,-79049.55175449126,-12.764141410304287,-63.221885001045194,0,0
Fabian Sanchez,1,1,22.333333333333332,193608.16666666666,7.0,-3.6498655863641822,68573.05935661984,-14.047021683682173,54.84304435120028,0,0
Jonathan Roberts,7,7,22.26785357142857,217365.07142857142,6.25,-3.7153453482689436,92329.9641185246,-14.29902976824147,73.84323179695123,0,1
Lacey Schwimmer,6,6,22.117875609756098,174179.0243902439,4.975609756097561,-3.8653233099414166,49143.917080197076,-14.876241073654587,39.30409477582643,0,2
Alec Mazo,5,5,21.868410526315788,183121.26315789475,6.842105263157895,-4.114788393381726,58086.15584784793,-15.836342576981005,46.45587715121719,1,1
Anna Trebunskaya,11,11,21.862133333333333,169914.4814814815,6.555555555555555,-4.121065586364182,44879.37417143467,-15.86050123812914,35.89341836620995,0,2
Edyta Sliwinska,11,11,21.767239655172414,224283.6724137931,5.379310344827586,-4.2159592645251,99248.56510374628,-16.225712921471874,79.3765585033984,0,2
Tristan MacManus,5,5,20.38095238095238,141920.2380952381,7.857142857142857,-5.602246538745135,16885.130785191286,-21.56103471346689,13.504311827654611,0,0
Brian Fortuna,1,1,20.0,127129.66666666667,10.0,-5.983198919697514,2094.5593566198513,-23.027183597327316,1.6751769976299684,0,0
Anna Demidova,1,1,19.357114285714285,144976.14285714287,7.0,-6.626084633983229,19941.03554709605,-25.501419800008087,15.948349208553642,0,0
Corky Ballas,2,2,18.227272727272727,127138.63636363637,7.454545454545454,-7.755926192424788,2103.5290535895474,-29.84977414210967,1.6823507403992324,0,0
Ashly DelGrosso,4,4,16.966666666666665,149356.8,6.666666666666667,-9.01653225303085,24321.692689953168,-34.70139408506601,19.451890923437364,0,1
Tyne Stecklein,1,1,15.666666666666666,49550.0,11.0,-10.316532253030848,-75485.10731004682,-39.704627151239734,-60.37113010417791,0,0
Elena Grinenko,2,2,15.0,126546.5,8.5,-10.983198919697514,1511.3926899531798,-42.27038769799549,1.2087746573491656,0,0
