season,week,celebrity,total_score,estimated_votes,vote_share,method,is_eliminated,popularity,viewers,optimization_success
2,1,Master P,12.0,120387,0.07935878104912308,rank,False,0.396533,30.34000000000001,False
2,1,Drew Lachey,24.0,216697,0.14284580588842155,rank,False,0.121343,30.34000000000001,False
2,1,Kenny Mayne,13.0,120,7.935878104912308e-05,rank,True,0.396533,30.34000000000001,False
2,2,Tatum O'Neal,17.0,69393,0.044740713696737926,rank,True,0.02221,31.02,True
2,2,Tia Carrere,22.0,160957,0.10377630718494293,rank,False,0.279523,31.02,True
2,2,George Hamilton,22.0,178696,0.11521360079681714,rank,False,0.227519,31.02,True
2,2,Lisa Rinna,20.0,194603,0.1254692199244762,rank,False,0.735645,31.02,True
2,2,Stacy Keibler,29.0,269724,0.17390360276303074,rank,False,1.0,31.02,True
2,2,Jerry Rice,23.0,220699,0.14229451116321962,rank,False,0.799567,31.02,True
2,2,Giselle Fernandez,24.0,141007,0.09091362222672589,rank,False,0.094258,31.02,True
2,2,Master P,16.0,143535,0.09254384112631323,rank,False,0.396533,31.02,True
2,2,Drew Lachey,27.0,172385,0.11114458111773629,rank,False,0.121343,31.02,True
2,3,Tia Carrere,26.0,264740,0.15382924953301835,rank,False,0.279523,34.42,False
2,3,George Hamilton,22.0,226920,0.13185364245687287,rank,False,0.227519,34.42,False
2,3,Lisa Rinna,25.0,245830,0.14284144599494564,rank,False,0.735645,34.42,False
2,3,Stacy Keibler,27.0,283650,0.1648170530710911,rank,False,1.0,34.42,False
2,3,Jerry Rice,19.0,208010,0.12086583891880015,rank,False,0.799567,34.42,False
2,3,Giselle Fernandez,22.0,189,0.00010987803538072741,rank,True,0.094258,34.42,False
2,3,Master P,14.0,189100,0.1098780353807274,rank,False,0.396533,34.42,False
2,3,Drew Lachey,27.0,302560,0.17580485660916387,rank,False,0.121343,34.42,False
2,4,Tia Carrere,25.0,232430,0.13930501478141089,rank,False,0.279523,33.370000000000005,True
2,4,George Hamilton,21.0,206118,0.1235348823721282,rank,False,0.227519,33.370000000000005,True
2,4,Lisa Rinna,26.0,298913,0.17915066771762708,rank,False,0.735645,33.370000000000005,True
2,4,Stacy Keibler,26.0,318291,0.19076475314027208,rank,False,1.0,33.370000000000005,True
2,4,Jerry Rice,24.0,282539,0.1693373116580448,rank,False,0.799567,33.370000000000005,True
2,4,Master P,8.0,84848,0.05085272222207625,rank,True,0.396533,33.370000000000005,True
2,4,Drew Lachey,28.0,245361,0.14705464810844068,rank,False,0.121343,33.370000000000005,True
2,5,Tia Carrere,22.0,222585,0.1276658290044557,rank,True,0.279523,34.87,True
2,5,George Hamilton,24.0,256347,0.14703028527231649,rank,False,0.227519,34.87,True
2,5,Lisa Rinna,25.0,312775,0.17939500176824,rank,False,0.735645,34.87,True
2,5,Stacy Keibler,30.0,399662,0.2292299124267793,rank,False,1.0,34.87,True
2,5,Jerry Rice,23.0,294657,0.1690030342555798,rank,False,0.799567,34.87,True
2,5,Drew Lachey,27.0,257473,0.14767593727262862,rank,False,0.121343,34.87,True
2,6,George Hamilton,23.0,271372,0.15708925151588368,rank,True,0.227519,34.55,True
2,6,Lisa Rinna,27.0,373143,0.21600170063725113,rank,False,0.735645,34.55,True
2,6,Stacy Keibler,30.0,441481,0.25556087401604627,rank,False,1.0,34.55,True
2,6,Jerry Rice,23.0,325488,0.18841591260016627,rank,False,0.799567,34.55,True
2,6,Drew Lachey,30.0,316015,0.18293226123065282,rank,False,0.121343,34.55,True
2,7,Lisa Rinna,26.5,530,0.0003029385034837928,rank,True,0.735645,35.010000000000005,False
2,7,Stacy Keibler,27.5,583323,0.3332323538321721,rank,False,1.0,35.010000000000005,False
2,7,Jerry Rice,20.5,530294,0.30293850348379275,rank,False,0.799567,35.010000000000005,False
2,7,Drew Lachey,27.5,636353,0.3635262041805513,rank,False,0.121343,35.010000000000005,False
2,8,Stacy Keibler,28.6665,783904,0.3489446770197696,rank,False,1.0,44.93,
2,8,Jerry Rice,26.666600000000003,713562,0.31763269859419646,rank,False,0.799567,44.93,
2,8,Drew Lachey,28.9998,749034,0.3334226243860339,rank,False,0.121343,44.93,
3,1,Harry Hamlin,17.0,156512,0.08571297171473022,percent,False,0.210006,36.51999999999999,True
3,1,Vivica A. Fox,22.0,160783,0.0880517954227628,percent,False,0.275479,36.51999999999999,True
3,1,Monique Coleman,19.0,165092,0.0904116041097946,percent,False,0.275479,36.51999999999999,True
3,1,Joey Lawrence,21.0,206760,0.1132310496106727,percent,False,0.554046,36.51999999999999,True
3,1,Mario Lopez,26.0,235835,0.12915398831233596,percent,False,0.463249,36.51999999999999,True
3,1,Emmitt Smith,24.0,197841,0.108346625708423,percent,False,0.168005,36.51999999999999,True
3,1,Shanna Moakler,18.0,110557,0.060545730541241356,percent,False,0.145769,36.51999999999999,True
3,1,Willa Ford,22.0,189312,0.10367560500786893,percent,False,0.50525,36.51999999999999,True
3,1,Sara Evans,15.0,115646,0.06333320071317393,percent,False,0.133416,36.51999999999999,True
3,1,Jerry Springer,16.0,178670,0.09784790107922392,percent,False,1.0,36.51999999999999,True
3,1,Tucker Carlson,12.0,108993,0.05968952777977255,percent,True,0.145769,36.51999999999999,True
3,2,Harry Hamlin,21.0,160054,0.09786213124322307,percent,False,0.210006,32.709999999999994,True
3,2,Vivica A. Fox,24.0,145203,0.08878191745982059,percent,False,0.275479,32.709999999999994,True
3,2,Monique Coleman,26.0,187022,0.11435144722424762,percent,False,0.275479,32.709999999999994,True
3,2,Joey Lawrence,29.0,236370,0.14452466784285056,percent,False,0.554046,32.709999999999994,True
3,2,Mario Lopez,21.0,157689,0.0964165333240145,percent,False,0.463249,32.709999999999994,True
3,2,Emmitt Smith,24.0,163781,0.10014127904402653,percent,False,0.168005,32.709999999999994,True
3,2,Shanna Moakler,22.0,111862,0.06839611645523244,percent,True,0.145769,32.709999999999994,True
3,2,Willa Ford,23.0,163844,0.10017964243606971,percent,False,0.50525,32.709999999999994,True
3,2,Sara Evans,21.0,134032,0.08195155831872564,percent,False,0.133416,32.709999999999994,True
3,2,Jerry Springer,19.0,175644,0.10739470665178935,percent,False,1.0,32.709999999999994,True
3,3,Harry Hamlin,22.0,136641,0.08104468633483627,percent,True,0.210006,33.72,True
3,3,Vivica A. Fox,27.0,182204,0.10806857393739856,percent,False,0.275479,33.72,True
3,3,Monique Coleman,27.0,216649,0.12849865713131997,percent,False,0.275479,33.72,True
3,3,Joey Lawrence,22.0,200233,0.11876231049075253,percent,False,0.554046,33.72,True
3,3,Mario Lopez,22.0,184505,0.10943368883188506,percent,False,0.463249,33.72,True
3,3,Emmitt Smith,19.0,161078,0.09553853211822158,percent,False,0.168005,33.72,True
3,3,Willa Ford,22.0,209844,0.12446277684756497,percent,False,0.50525,33.72,True
3,3,Sara Evans,25.0,178142,0.10565946188463064,percent,False,0.133416,33.72,True
3,3,Jerry Springer,21.0,216704,0.1285313124233905,percent,False,1.0,33.72,True
3,4,Vivica A. Fox,24.0,136827,0.07629030301820522,percent,True,0.275479,35.87,True
3,4,Monique Coleman,24.0,239809,0.13371025992032937,percent,False,0.275479,35.87,True
3,4,Joey Lawrence,27.0,250872,0.13987820016119412,percent,False,0.554046,35.87,True
3,4,Mario Lopez,29.0,256246,0.14287468978170728,percent,False,0.463249,35.87,True
3,4,Emmitt Smith,24.0,238710,0.13309718502111983,percent,False,0.168005,35.87,True
3,4,Willa Ford,28.0,255592,0.1425101186713412,percent,False,0.50525,35.87,True
3,4,Sara Evans,20.0,173059,0.0964924060326077,percent,False,0.133416,35.87,True
3,4,Jerry Springer,22.0,242386,0.13514683739349537,percent,False,1.0,35.87,True
3,5,Monique Coleman,27.0,283235,0.1478649144507428,percent,False,0.275479,38.31,True
3,5,Joey Lawrence,25.0,248810,0.12989285026832828,percent,False,0.554046,38.31,True
3,5,Mario Lopez,27.0,286627,0.14963544654552383,percent,False,0.463249,38.31,True
3,5,Emmitt Smith,27.0,279253,0.14578573324451158,percent,False,0.168005,38.31,True
3,5,Willa Ford,27.0,222199,0.11600054050907253,percent,True,0.50525,38.31,True
3,5,Sara Evans,24.0,253948,0.13257516281011902,percent,False,0.133416,38.31,True
3,5,Jerry Springer,24.0,341429,0.17824535217170195,percent,False,1.0,38.31,True
3,6,Monique Coleman,23.0,387443,0.19142429895972957,percent,False,0.275479,40.480000000000004,
3,6,Joey Lawrence,24.0,415661,0.20536604905210504,percent,False,0.554046,40.480000000000004,
3,6,Mario Lopez,28.0,491881,0.2430242572923562,percent,False,0.463249,40.480000000000004,
3,6,Emmitt Smith,25.0,423196,0.2090891343838715,percent,False,0.168005,40.480000000000004,
3,6,Jerry Springer,18.0,305819,0.1510962603119378,percent,False,1.0,40.480000000000004,
3,7,Monique Coleman,27.0,378709,0.18605213250399388,percent,False,0.275479,40.71,True
3,7,Joey Lawrence,28.5,452963,0.22253145762842907,percent,False,0.554046,40.71,True
3,7,Mario Lopez,28.0,409981,0.20141546788221842,percent,False,0.463249,40.71,True
3,7,Emmitt Smith,28.5,379245,0.18631564444973575,percent,False,0.168005,40.71,True
3,7,Jerry Springer,23.0,414601,0.203685297535623,percent,True,1.0,40.71,True
3,8,Monique Coleman,26.5,463900,0.23352605487774167,percent,True,0.275479,39.730000000000004,True
3,8,Joey Lawrence,27.0,530373,0.26698864344735457,percent,False,0.554046,39.730000000000004,True
3,8,Mario Lopez,28.5,537440,0.27054616201945725,percent,False,0.463249,39.730000000000004,True
3,8,Emmitt Smith,27.0,454788,0.22893913965544652,percent,False,0.168005,39.730000000000004,True
3,9,Joey Lawrence,29.5,720547,0.33780926340541756,percent,False,0.554046,42.66,
3,9,Mario Lopez,29.5,712934,0.3342398624453195,percent,False,0.463249,42.66,
3,9,Emmitt Smith,29.5,699519,0.32795087414926294,percent,False,0.168005,42.66,
3,10,Mario Lopez,29.666600000000003,1370805,0.5048074346413793,percent,False,0.463249,54.31,
3,10,Emmitt Smith,29.666600000000003,1344695,0.4951925653586206,percent,False,0.168005,54.31,
4,1,John Ratzenberger,17.0,88484,0.08117819603862085,percent,False,0.154328,21.800000000000004,
4,1,Ian Ziering,21.0,112515,0.1032247255190113,percent,False,0.123586,21.800000000000004,
4,1,Clyde Drexler,16.0,82081,0.07530405609290305,percent,False,0.004955,21.800000000000004,
4,1,Laila Ali,23.0,126127,0.11571271834320004,percent,False,0.314956,21.800000000000004,
4,1,Apolo Anton Ohno,21.0,112253,0.10298446369394881,percent,False,0.154328,21.800000000000004,
4,1,Shandi Finnessey,19.0,98983,0.09080991121389026,percent,False,0.092522,21.800000000000004,
4,1,Paulina Porizkova,19.0,98643,0.0904981947951693,percent,False,0.1607,21.800000000000004,
4,1,Heather Mills,18.0,98519,0.09038399748620791,percent,False,1.0,21.800000000000004,
4,1,Billy Ray Cyrus,13.0,65004,0.05963648605525165,percent,False,0.314457,21.800000000000004,
4,1,Joey Fatone,24.0,131486,0.12062925899863852,percent,False,0.193564,21.800000000000004,
4,1,Leeza Gibbons,15.0,75905,0.0696379917631584,percent,False,0.089006,21.800000000000004,
4,2,John Ratzenberger,21.0,168507,0.08787850283362071,percent,False,0.154328,38.35000000000001,True
4,2,Ian Ziering,22.0,170414,0.08887286937501454,percent,False,0.123586,38.35000000000001,True
4,2,Clyde Drexler,18.0,136796,0.07134095100385802,percent,False,0.004955,38.35000000000001,True
4,2,Laila Ali,27.0,224950,0.11731415054153141,percent,False,0.314956,38.35000000000001,True
4,2,Apolo Anton Ohno,26.0,200378,0.1044994205186406,percent,False,0.154328,38.35000000000001,True
4,2,Shandi Finnessey,20.0,173323,0.09038995414149384,percent,False,0.092522,38.35000000000001,True
4,2,Paulina Porizkova,21.0,113316,0.05909590806684584,percent,True,0.1607,38.35000000000001,True
4,2,Heather Mills,24.0,229159,0.11950947836727599,percent,False,1.0,38.35000000000001,True
4,2,Billy Ray Cyrus,21.0,160711,0.08381279697168778,percent,False,0.314457,38.35000000000001,True
4,2,Joey Fatone,24.0,185526,0.09675436558453336,percent,False,0.193564,38.35000000000001,True
4,2,Leeza Gibbons,21.0,154419,0.08053160259549792,percent,False,0.089006,38.35000000000001,True
4,3,John Ratzenberger,20.0,161329,0.09709821154773651,percent,False,0.154328,33.230000000000004,True
4,3,Ian Ziering,24.0,180789,0.10881048489829952,percent,False,0.123586,33.230000000000004,True
4,3,Clyde Drexler,16.0,147191,0.08858942711033477,percent,False,0.004955,33.230000000000004,True
4,3,Laila Ali,21.0,166108,0.09997476695221098,percent,False,0.314956,33.230000000000004,True
4,3,Apolo Anton Ohno,23.0,171105,0.10298234143449965,percent,False,0.154328,33.230000000000004,True
4,3,Shandi Finnessey,21.0,109083,0.06565359979840131,percent,True,0.092522,33.230000000000004,True
4,3,Heather Mills,24.0,204550,0.12311139365636811,percent,False,1.0,33.230000000000004,True
4,3,Billy Ray Cyrus,21.0,164817,0.09919773758425333,percent,False,0.314457,33.230000000000004,True
4,3,Joey Fatone,24.0,179034,0.10775470345173838,percent,False,0.193564,33.230000000000004,True
4,3,Leeza Gibbons,24.0,177494,0.1068273335661574,percent,False,0.089006,33.230000000000004,True
4,4,John Ratzenberger,16.0,155828,0.08618792858923591,percent,False,0.154328,36.16,True
4,4,Ian Ziering,24.0,224830,0.12435292015415952,percent,False,0.123586,36.16,True
4,4,Clyde Drexler,15.0,150605,0.08329939369516864,percent,False,0.004955,36.16,True
4,4,Laila Ali,21.0,199495,0.11034031091235671,percent,False,0.314956,36.16,True
4,4,Apolo Anton Ohno,26.0,233525,0.12916219630945866,percent,False,0.154328,36.16,True
4,4,Heather Mills,23.0,249430,0.13795887777967902,percent,False,1.0,36.16,True
4,4,Billy Ray Cyrus,21.0,196732,0.10881193390028998,percent,False,0.314457,36.16,True
4,4,Joey Fatone,28.0,256472,0.14185410558968364,percent,False,0.193564,36.16,True
4,4,Leeza Gibbons,16.0,141082,0.07803233306996797,percent,True,0.089006,36.16,True
4,5,John Ratzenberger,18.0,184754,0.10435137198144279,percent,False,0.154328,35.41,True
4,5,Ian Ziering,24.0,237057,0.1338926966734377,percent,False,0.123586,35.41,True
4,5,Clyde Drexler,13.0,133613,0.07546622578922,percent,True,0.004955,35.41,True
4,5,Laila Ali,28.0,280645,0.15851193010509326,percent,False,0.314956,35.41,True
4,5,Apolo Anton Ohno,30.0,284384,0.16062379813118693,percent,False,0.154328,35.41,True
4,5,Heather Mills,21.0,240340,0.13574715075304672,percent,False,1.0,35.41,True
4,5,Billy Ray Cyrus,17.0,168080,0.09493345277810486,percent,False,0.314457,35.41,True
4,5,Joey Fatone,25.0,241626,0.13647337378846777,percent,False,0.193564,35.41,True
4,6,John Ratzenberger,19.0,214113,0.12086555993019145,percent,False,0.154328,35.43,True
4,6,Ian Ziering,24.0,270001,0.15241370994748776,percent,False,0.123586,35.43,True
4,6,Laila Ali,28.0,272697,0.1539356777411952,percent,False,0.314956,35.43,True
4,6,Apolo Anton Ohno,28.0,261732,0.1477461668800062,percent,False,0.154328,35.43,True
4,6,Heather Mills,23.0,172431,0.09733599923854118,percent,True,1.0,35.43,True
4,6,Billy Ray Cyrus,21.0,321216,0.18132452513454328,percent,False,0.314457,35.43,True
4,6,Joey Fatone,27.0,259309,0.1463783611280349,percent,False,0.193564,35.43,True
4,7,John Ratzenberger,22.5,228362,0.1296405450760683,percent,True,0.154328,35.23000000000001,True
4,7,Ian Ziering,27.0,303741,0.17243301180554094,percent,False,0.123586,35.23000000000001,True
4,7,Laila Ali,29.5,345643,0.1962207872933208,percent,False,0.314956,35.23000000000001,True
4,7,Apolo Anton Ohno,27.0,285881,0.1622942072802799,percent,False,0.154328,35.23000000000001,True
4,7,Billy Ray Cyrus,19.0,268267,0.15229443027152978,percent,False,0.314457,35.23000000000001,True
4,7,Joey Fatone,29.5,329607,0.18711701827326038,percent,False,0.193564,35.23000000000001,True
4,8,Ian Ziering,23.5,343556,0.18928709801646018,percent,False,0.123586,36.3,True
4,8,Laila Ali,26.5,393128,0.21659942563734735,percent,False,0.314956,36.3,True
4,8,Apolo Anton Ohno,29.0,406884,0.22417859252174466,percent,False,0.154328,36.3,True
4,8,Billy Ray Cyrus,19.0,278041,0.15319036825399307,percent,True,0.314457,36.3,True
4,8,Joey Fatone,27.5,393391,0.21674451557045468,percent,False,0.193564,36.3,True
4,9,Ian Ziering,29.0,468822,0.24661852931586933,percent,True,0.123586,38.019999999999996,True
4,9,Laila Ali,30.0,494245,0.2599922010850531,percent,False,0.314956,38.019999999999996,True
4,9,Apolo Anton Ohno,29.5,460814,0.24240598207104624,percent,False,0.154328,38.019999999999996,True
4,9,Joey Fatone,30.0,477119,0.2509832875280313,percent,False,0.193564,38.019999999999996,True
4,10,Laila Ali,28.333200000000005,710726,0.32942107501139456,percent,False,0.314956,43.150000000000006,
4,10,Apolo Anton Ohno,29.3332,731894,0.33923239416335393,percent,False,0.154328,43.150000000000006,
4,10,Joey Fatone,28.6665,714880,0.33134653082525156,percent,False,0.193564,43.150000000000006,
5,1,Cameron Mathison,21.0,229701,0.08122396171802762,percent,False,0.075335,56.56,True
5,1,Jane Seymour,24.0,290655,0.10277766651883757,percent,False,0.461056,56.56,True
5,1,Sabrina Bryan,26.0,291777,0.10317426708940863,percent,False,0.430486,56.56,True
5,1,Jennie Garth,21.0,215280,0.07612447902676037,percent,False,0.275794,56.56,True
5,1,Floyd Mayweather Jr. ,18.0,199716,0.07062076716206149,percent,False,0.275794,56.56,True
5,1,Josie Maran,16.0,139602,0.04936420240756035,percent,True,0.147726,56.56,True
5,1,Albert Reed,21.0,213745,0.07558180006049159,percent,False,0.15578,56.56,True
5,1,Helio Castroneves,25.0,259088,0.09161535192174423,percent,False,0.133239,56.56,True
5,1,Mel B,24.0,234364,0.08287270826522697,percent,False,0.104055,56.56,True
5,1,Wayne Newton,19.0,221933,0.07847693739741665,percent,False,0.439919,56.56,True
5,1,Marie Osmond,21.0,275707,0.0974918344544761,percent,False,1.0,56.56,True
5,1,Mark Cuban,21.0,256432,0.0906760239779884,percent,False,0.442315,56.56,True
5,2,Cameron Mathison,21.0,166607,0.08607947312750779,percent,False,0.075335,38.709999999999994,True
5,2,Jane Seymour,21.0,184840,0.09549977474109098,percent,False,0.461056,38.709999999999994,True
5,2,Sabrina Bryan,26.0,213487,0.11030069095465192,percent,False,0.430486,38.709999999999994,True
5,2,Jennie Garth,21.0,156816,0.08102116156695675,percent,False,0.275794,38.709999999999994,True
5,2,Floyd Mayweather Jr. ,21.0,169361,0.08750230873356009,percent,False,0.275794,38.709999999999994,True
5,2,Albert Reed,21.0,88784,0.04587145059622065,percent,True,0.15578,38.709999999999994,True
5,2,Helio Castroneves,27.0,204663,0.10574166602146948,percent,False,0.133239,38.709999999999994,True
5,2,Mel B,23.0,163870,0.08466529658753005,percent,False,0.104055,38.709999999999994,True
5,2,Wayne Newton,15.0,137580,0.07108251074945182,percent,False,0.439919,38.709999999999994,True
5,2,Marie Osmond,24.0,230469,0.11907476609041236,percent,False,1.0,38.709999999999994,True
5,2,Mark Cuban,18.0,219023,0.11316090083114813,percent,False,0.442315,38.709999999999994,True
5,3,Cameron Mathison,23.0,168292,0.0935472649220138,percent,False,0.075335,35.980000000000004,True
5,3,Jane Seymour,27.0,218736,0.12158770475153663,percent,False,0.461056,35.980000000000004,True
5,3,Sabrina Bryan,27.0,202690,0.11266789835424251,percent,False,0.430486,35.980000000000004,True
5,3,Jennie Garth,26.0,178299,0.09910983915364995,percent,False,0.275794,35.980000000000004,True
5,3,Floyd Mayweather Jr. ,21.0,155865,0.0866398327565842,percent,False,0.275794,35.980000000000004,True
5,3,Helio Castroneves,24.0,166383,0.0924863993248066,percent,False,0.133239,35.980000000000004,True
5,3,Mel B,27.0,176374,0.09803980500607676,percent,False,0.104055,35.980000000000004,True
5,3,Wayne Newton,18.0,140647,0.07818066044646078,percent,True,0.439919,35.980000000000004,True
5,3,Marie Osmond,26.0,228345,0.12692894789106654,percent,False,1.0,35.980000000000004,True
5,3,Mark Cuban,20.0,163370,0.09081164739356232,percent,False,0.442315,35.980000000000004,True
5,4,Cameron Mathison,27.0,206642,0.11261159550427915,percent,False,0.075335,36.7,True
5,4,Jane Seymour,26.0,220319,0.12006470232878144,percent,False,0.461056,36.7,True
5,4,Sabrina Bryan,30.0,235565,0.12837303558917548,percent,False,0.430486,36.7,True
5,4,Jennie Garth,27.0,193669,0.10554149942566145,percent,False,0.275794,36.7,True
5,4,Floyd Mayweather Jr. ,23.0,178558,0.09730658700267625,percent,True,0.275794,36.7,True
5,4,Helio Castroneves,27.0,195786,0.10669558816074261,percent,False,0.133239,36.7,True
5,4,Mel B,26.0,177650,0.09681176475927841,percent,False,0.104055,36.7,True
5,4,Marie Osmond,26.0,238843,0.13015976467930904,percent,False,1.0,36.7,True
5,4,Mark Cuban,22.0,187969,0.10243546255009611,percent,False,0.442315,36.7,True
5,5,Cameron Mathison,26.0,252165,0.1279049237827215,percent,False,0.075335,39.43,True
5,5,Jane Seymour,26.0,279194,0.14161521008334574,percent,False,0.461056,39.43,True
5,5,Sabrina Bryan,28.0,278613,0.14132048440710748,percent,False,0.430486,39.43,True
5,5,Jennie Garth,25.0,227243,0.11526410672824239,percent,False,0.275794,39.43,True
5,5,Helio Castroneves,23.0,211350,0.10720255176370069,percent,False,0.133239,39.43,True
5,5,Mel B,29.0,251098,0.1273641875067939,percent,False,0.104055,39.43,True
5,5,Marie Osmond,21.0,244464,0.1239987433542309,percent,False,1.0,39.43,True
5,5,Mark Cuban,21.0,227373,0.11532979237385735,percent,True,0.442315,39.43,True
5,6,Cameron Mathison,25.0,291261,0.14458213638499576,percent,False,0.075335,40.29,True
5,6,Jane Seymour,22.0,268057,0.1330637565368161,percent,False,0.461056,40.29,True
5,6,Sabrina Bryan,25.0,234482,0.1163969227618325,percent,True,0.430486,40.29,True
5,6,Jennie Garth,27.0,280840,0.13940943490670732,percent,False,0.275794,40.29,True
5,6,Helio Castroneves,28.0,295924,0.14689709011477667,percent,False,0.133239,40.29,True
5,6,Mel B,30.0,296980,0.14742112986563424,percent,False,0.104055,40.29,True
5,6,Marie Osmond,23.0,346956,0.17222952942923744,percent,False,1.0,40.29,True
5,7,Cameron Mathison,25.5,319355,0.17018659735920455,percent,False,0.075335,37.53,True
5,7,Jane Seymour,25.0,299274,0.15948508616773474,percent,True,0.461056,37.53,True
5,7,Jennie Garth,26.5,303312,0.16163703891637105,percent,False,0.275794,37.53,True
5,7,Helio Castroneves,26.0,287246,0.15307538986217678,percent,False,0.133239,37.53,True
5,7,Mel B,27.0,296422,0.157965146688913,percent,False,0.104055,37.53,True
5,7,Marie Osmond,26.0,370892,0.1976507410055999,percent,False,1.0,37.53,True
5,8,Cameron Mathison,25.5,364695,0.1851246080928663,percent,True,0.075335,39.4,True
5,8,Jennie Garth,25.0,372186,0.1889270845729781,percent,False,0.275794,39.4,True
5,8,Helio Castroneves,28.5,408959,0.20759336342270046,percent,False,0.133239,39.4,True
5,8,Mel B,28.0,393530,0.19976146868805178,percent,False,0.104055,39.4,True
5,8,Marie Osmond,24.5,430629,0.2185934752234035,percent,False,1.0,39.4,True
5,9,Jennie Garth,29.0,513153,0.2343162618550756,percent,True,0.275794,43.8,True
5,9,Helio Castroneves,30.0,536652,0.24504672005001443,percent,False,0.133239,43.8,True
5,9,Mel B,30.0,505668,0.2308984079012755,percent,False,0.104055,43.8,True
5,9,Marie Osmond,28.0,634528,0.28973861019363456,percent,False,1.0,43.8,True
5,10,Helio Castroneves,27.999900000000004,862678,0.3513964835530956,percent,False,0.133239,49.1,
5,10,Mel B,28.333199999999998,869323,0.3541031989836771,percent,False,0.104055,49.1,
5,10,Marie Osmond,23.0,722998,0.2945003174632274,percent,False,1.0,49.1,
6,1,Cristian de la Fuente,21.0,164447,0.08616539364833839,percent,False,0.007174,38.17000000000001,
6,1,Steve Guttenberg,18.0,137709,0.07215564202415825,percent,False,0.005592,38.17000000000001,
6,1,Priscilla Presley,24.0,193098,0.1011780757178656,percent,False,0.08406,38.17000000000001,
6,1,Marlee Matlin,22.0,174836,0.09160915653568988,percent,False,0.023862,38.17000000000001,
6,1,Shannon Elizabeth,21.0,163953,0.0859068685116332,percent,False,0.099385,38.17000000000001,
6,1,Marissa Jaret Winokur,18.0,137381,0.07198359845566073,percent,False,0.010909,38.17000000000001,
6,1,Jason Taylor,22.0,174422,0.09139227165504987,percent,False,0.055201,38.17000000000001,
6,1,Kristi Yamaguchi,27.0,218657,0.11456982811790897,percent,False,0.023097,38.17000000000001,
6,1,Monica Seles,15.0,110485,0.05789076127666564,percent,False,0.014974,38.17000000000001,
