season,week,num_contestants,rank_eliminated,percent_eliminated,actual_eliminated,methods_agree,rank_matches_actual,percent_matches_actual
20,9,4,Rumer Willis,Rumer Willis,Nastia Liukin,True,False,False
20,10,3,Noah Galloway,Noah Galloway,,True,False,False
21,1,13,Kim Zolciak-Biermann,Kim Zolciak-Biermann,,True,False,False
21,2,13,Chaka Khan,Chaka Khan,Victor Espinoza,True,False,False
21,3,10,Paula Deen,Paula Deen,,True,False,False
21,4,10,Gary Busey,Gary Busey,Gary Busey,True,True,True
21,5,9,Paula Deen,Paula Deen,,True,False,False
21,6,9,Paula Deen,Paula Deen,Paula Deen,True,True,True
21,7,8,Tamar Braxton,Hayes Grier,Hayes Grier,False,False,True
21,8,7,Andy Grammer,Andy Grammer,Andy Grammer,True,True,True
21,9,6,Tamar Braxton,Alexa PenaVega,Alexa PenaVega,False,False,True
21,10,4,Nick Carter,Nick Carter,,True,False,False
21,11,4,Carlos PenaVega,Carlos PenaVega,Carlos PenaVega,True,True,True
22,1,12,Geraldo Rivera,Geraldo Rivera,,True,False,False
22,2,12,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,True,True,True
22,3,11,Mischa Barton,Mischa Barton,Mischa Barton,True,True,True
22,4,10,Doug Flutie,Marla Maples,Marla Maples,False,False,True
22,5,9,Antonio Brown,Antonio Brown,,True,False,False
22,6,9,Doug Flutie,Doug Flutie,Doug Flutie,True,True,True
22,7,8,Jodie Sweetin,Von Miller,Kim Fields,False,False,False
22,8,6,Wanya Morris,Jodie Sweetin,Jodie Sweetin,False,False,True
22,9,5,Antonio Brown,Wanya Morris,Antonio Brown,False,True,False
22,10,3,Ginger Zee,Ginger Zee,,True,False,False
23,1,13,Rick Perry,Rick Perry,,True,False,False
23,2,13,Amber Rose,Rick Perry,Jake T. Austin,False,False,False
23,3,12,Rick Perry,Rick Perry,Rick Perry,True,True,True
23,4,11,Babyface,Babyface,Babyface,True,True,True
23,5,9,Amber Rose,Amber Rose,,True,False,False
23,6,9,Amber Rose,Amber Rose,Amber Rose,True,True,True
23,7,8,Marilu Henner,Maureen McCormick,Maureen McCormick,False,False,True
23,8,7,Marilu Henner,Ryan Lochte,Ryan Lochte,False,False,True
23,9,6,Marilu Henner,Marilu Henner,Marilu Henner,True,True,True
23,10,5,Calvin Johnson Jr.,Terra Jole,Terra Jole,False,False,True
23,11,4,Jana Kramer,Jana Kramer,Jana Kramer,True,True,True
24,1,12,Chris Kattan,Chris Kattan,,True,False,False
24,2,12,Chris Kattan,Chris Kattan,Chris Kattan,True,True,True
24,3,11,Charo,Charo,Charo,True,True,True
24,4,10,Mr. T,Mr. T,Mr. T,True,True,True
24,5,9,Bonner Bolton,Erika Jayne,Erika Jayne,False,False,True
24,6,8,Nick Viall,Heather Morris,Heather Morris,False,False,True
24,7,7,Bonner Bolton,Nancy Kerrigan,Nancy Kerrigan,False,False,True
24,8,5,Bonner Bolton,Bonner Bolton,Bonner Bolton,True,True,True
24,9,4,David Ross,Simone Biles,Simone Biles,False,False,True
24,10,3,David Ross,David Ross,,True,False,False
25,1,13,Barbara Corcoran,Barbara Corcoran,,True,False,False
25,2,13,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,True,True,True
25,3,11,Sasha Pieterse,Sasha Pieterse,,True,False,False
25,4,11,Derek Fisher,Derek Fisher,Derek Fisher,True,True,True
25,5,10,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,True,True,True
25,6,9,Nick Lachey,Nick Lachey,Nick Lachey,True,True,True
25,7,8,Nikki Bella,Nikki Bella,Nikki Bella,True,True,True
25,8,6,Terrell Owens,Terrell Owens,Terrell Owens,True,True,True
25,9,5,Drew Scott,Victoria Arlen,Victoria Arlen,False,False,True
25,10,4,Drew Scott,Drew Scott,Drew Scott,True,True,True
26,1,10,Johnny Damon,Johnny Damon,Jamie Anderson,True,False,False
26,2,8,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True,True,True
26,3,6,Jennie Finch Daigle,Jennie Finch Daigle,Jennie Finch Daigle,True,True,True
26,4,3,Tonya Harding,Tonya Harding,,True,False,False
27,1,13,Nikki Glaser,Nikki Glaser,Nikki Glaser,True,True,True
27,2,12,Danelle Umstead,Danelle Umstead,Danelle Umstead,True,True,True
27,3,11,Joe Amabile,Nancy McKeon,Nancy McKeon,False,False,True
27,4,10,Joe Amabile,Tinashe,Tinashe,False,False,True
27,5,9,Joe Amabile,Joe Amabile,,True,False,False
27,6,9,John Schneider,Mary Lou Retton,Mary Lou Retton,False,False,True
27,7,8,DeMarcus Ware,John Schneider,John Schneider,False,False,True
27,8,6,Joe Amabile,Joe Amabile,Juan Pablo Di Pace,True,False,False
27,9,4,Bobby Bones,Bobby Bones,,True,False,False
28,1,12,Lamar Odom,Lamar Odom,,True,False,False
28,2,12,Mary Wilson,Mary Wilson,Mary Wilson,True,True,True
28,3,10,Lamar Odom,Lamar Odom,,True,False,False
28,4,10,Lamar Odom,Lamar Odom,Lamar Odom,True,True,True
28,5,9,Sean Spicer,Sean Spicer,,True,False,False
28,6,9,Sean Spicer,Sean Spicer,Sailor Brinkley-Cook,True,False,False
28,7,8,Karamo Brown,Kate Flannery,Karamo Brown,False,True,False
28,8,7,Sean Spicer,Sean Spicer,Kate Flannery,True,False,False
28,9,6,Sean Spicer,Sean Spicer,Sean Spicer,True,True,True
28,10,5,James Van Der Beek,James Van Der Beek,James Van Der Beek,True,True,True
28,11,4,Lauren Alaina,Lauren Alaina,,True,False,False
29,1,15,Carole Baskin,Carole Baskin,,True,False,False
29,2,15,Charles Oakley,Charles Oakley,Charles Oakley,True,True,True
29,3,14,Carole Baskin,Carole Baskin,Carole Baskin,True,True,True
29,4,13,Anne Heche,Anne Heche,Anne Heche,True,True,True
29,5,12,Chrishell Stause,Chrishell Stause,Jesse Metcalfe,True,False,False
29,6,11,Veron Davis,Veron Davis,Veron Davis,True,True,True
29,7,10,Monica Aldama,Monica Aldama,Monica Aldama,True,True,True
29,8,8,Chrishell Stause,Chrishell Stause,Chrishell Stause,True,True,True
29,9,7,AJ McLean,AJ McLean,AJ McLean,True,True,True
29,10,6,Johnny Weir,Johnny Weir,Skai Jackson,True,False,False
29,11,4,Nelly,Nelly,,True,False,False
30,1,15,Martin Kove,Martin Kove,,True,False,False
30,2,15,Martin Kove,Martin Kove,Martin Kove,True,True,True
30,3,14,Suni Lee,Cody Rigsby,Christine Chiu,False,False,False
30,4,13,Brian Austin Green,Brian Austin Green,Brian Austin Green,True,True,True
30,5,11,Iman Shumpert,Iman Shumpert,Melanie C,True,False,False
30,6,10,Kenya Moore,Kenya Moore,Kenya Moore,True,True,True
30,7,9,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,True,True
30,8,8,Jimmie Allen,Jimmie Allen,Jimmie Allen,True,True,True
30,9,6,Melora Hardin,Melora Hardin,Melora Hardin,True,True,True
30,10,4,Cody Rigsby,Cody Rigsby,,True,False,False
31,1,16,Jason Lewis,Jason Lewis,Jason Lewis,True,True,True
31,2,15,Teresa Giudice,Teresa Giudice,Teresa Giudice,True,True,True
31,3,14,Cheryl Ladd,Vinny Guadagnino,Cheryl Ladd,False,True,False
31,4,13,Sam Champion,Sam Champion,Sam Champion,True,True,True
31,5,12,Joseph Baena,Vinny Guadagnino,Joseph Baena,False,True,False
31,6,10,Jessie James Decker,Vinny Guadagnino,Jessie James Decker,False,True,False
31,7,9,Jordin Sparks,Jordin Sparks,Jordin Sparks,True,True,True
31,8,8,Vinny Guadagnino,Vinny Guadagnino,Heidi D'Amelio,True,False,False
31,9,6,Trevor Donovan,Trevor Donovan,Trevor Donovan,True,True,True
31,10,4,Shangela,Shangela,,True,False,False
32,1,14,Tyson Beckford,Tyson Beckford,Matt Walsh,True,False,False
32,2,13,Jamie Lynn Spears,Harry Jowsey,Jamie Lynn Spears,False,True,False
32,3,12,Tyson Beckford,Tyson Beckford,Tyson Beckford,True,True,True
32,4,11,Adrian Peterson,Alyson Hannigan,Adrian Peterson,False,True,False
32,5,10,Mira Sorvino,Harry Jowsey,Mira Sorvino,False,True,False
32,6,9,Mauricio Umansky,Alyson Hannigan,Mauricio Umansky,False,True,False
32,7,8,Barry Williams,Barry Williams,Lele Pons,True,False,False
32,8,7,Barry Williams,Harry Jowsey,Barry Williams,False,True,False
32,9,6,Harry Jowsey,Harry Jowsey,Harry Jowsey,True,True,True
32,10,5,Alyson Hannigan,Alyson Hannigan,,True,False,False
32,11,5,Alyson Hannigan,Alyson Hannigan,,True,False,False
33,1,13,Eric Roberts,Eric Roberts,,True,False,False
33,2,13,Anna Delvey,Tori Spelling,Tori Spelling,False,False,True
33,3,11,Reginald VelJohnson,Reginald VelJohnson,Eric Roberts,True,False,False
33,4,9,Brooks Nader,Brooks Nader,Brooks Nader,True,True,True
33,5,8,Phaedra Parks,Phaedra Parks,Phaedra Parks,True,True,True
33,6,7,Jenn Tran,Jenn Tran,Jenn Tran,True,True,True
33,7,6,Dwight Howard ,Dwight Howard ,Dwight Howard ,True,True,True
33,8,5,Stephen Nedoroscik,Stephen Nedoroscik,,True,False,False
33,9,5,Danny Amendola,Danny Amendola,,True,False,False
34,1,14,Corey Feldman,Corey Feldman,,True,False,False
34,2,14,Corey Feldman,Corey Feldman,Corey Feldman,True,True,True
34,3,12,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,True,True,True
34,4,11,Andy Richter,Andy Richter,Hilaria Baldwin,True,False,False
34,5,10,Andy Richter,Andy Richter,,True,False,False
34,6,10,Andy Richter,Scott Hoying,Scott Hoying,False,False,True
34,7,9,Jen Affleck,Elaine Hendrix,Jen Affleck,False,True,False
34,8,8,Danielle Fishel,Andy Richter,Danielle Fishel,False,True,False
34,9,7,Andy Richter,Andy Richter,Andy Richter,True,True,True
34,10,6,Elaine Hendrix,Elaine Hendrix,Whitney Leavitt,True,False,False
34,11,5,Elaine Hendrix,Elaine Hendrix,,True,False,False
